species_code,sex_cat,err_src,comp_type,region,iss,species,type,max_age,max_len
10110,female,all,age,goa,223.7924283753845,arrowtooth flounder,flatfish,29,990
10110,female,all,length,goa,3697.2194101709997,arrowtooth flounder,flatfish,29,990
10110,female,hl,age,goa,371.952307224365,arrowtooth flounder,flatfish,29,990
10110,female,hl,length,goa,5230.966963809556,arrowtooth flounder,flatfish,29,990
10110,female,hl_ln,age,goa,371.37057913826794,arrowtooth flounder,flatfish,29,990
10110,female,ln,age,goa,54904.18136331621,arrowtooth flounder,flatfish,29,990
10110,female,ln,length,goa,13885.56339612118,arrowtooth flounder,flatfish,29,990
10110,female,sp,age,goa,619.4760408175877,arrowtooth flounder,flatfish,29,990
10110,male,all,age,goa,141.99892908705604,arrowtooth flounder,flatfish,32,790
10110,male,all,length,goa,1845.1424208380163,arrowtooth flounder,flatfish,32,790
10110,male,hl,age,goa,230.60171438919832,arrowtooth flounder,flatfish,32,790
10110,male,hl,length,goa,2683.615150837935,arrowtooth flounder,flatfish,32,790
10110,male,hl_ln,age,goa,230.1315254705351,arrowtooth flounder,flatfish,32,790
10110,male,ln,age,goa,22782.9232011958,arrowtooth flounder,flatfish,32,790
10110,male,ln,length,goa,6753.840255131147,arrowtooth flounder,flatfish,32,790
10110,male,sp,age,goa,401.3542557301707,arrowtooth flounder,flatfish,32,790
10110,total,all,age,goa,332.313768505789,arrowtooth flounder,flatfish,32,990
10110,total,all,length,goa,4631.1825266214255,arrowtooth flounder,flatfish,32,990
10110,total,hl,age,goa,526.5215724202245,arrowtooth flounder,flatfish,32,990
10110,total,hl,length,goa,6152.957966087001,arrowtooth flounder,flatfish,32,990
10110,total,hl_ln,age,goa,527.6481308946993,arrowtooth flounder,flatfish,32,990
10110,total,ln,age,goa,82014.31276300763,arrowtooth flounder,flatfish,32,990
10110,total,ln,length,goa,20725.742676695845,arrowtooth flounder,flatfish,32,990
10110,total,sp,age,goa,982.5997247478101,arrowtooth flounder,flatfish,32,990
10130,female,all,age,goa,108.36262357186607,flathead sole,flatfish,29,710
10130,female,all,length,goa,1506.9955803713567,flathead sole,flatfish,29,710
10130,female,hl,age,goa,179.77363032192613,flathead sole,flatfish,29,710
10130,female,hl,length,goa,2292.944375407467,flathead sole,flatfish,29,710
10130,female,hl_ln,age,goa,174.05858220494932,flathead sole,flatfish,29,710
10130,female,ln,age,goa,19738.326511771716,flathead sole,flatfish,29,710
10130,female,ln,length,goa,4894.819530417882,flathead sole,flatfish,29,710
10130,female,sp,age,goa,462.06591662214237,flathead sole,flatfish,29,710
10130,male,all,age,goa,89.03194658329747,flathead sole,flatfish,33,700
10130,male,all,length,goa,1201.908696594709,flathead sole,flatfish,33,700
10130,male,hl,age,goa,146.00455354154673,flathead sole,flatfish,33,700
10130,male,hl,length,goa,1720.4922452785368,flathead sole,flatfish,33,700
10130,male,hl_ln,age,goa,141.9221459344229,flathead sole,flatfish,33,700
10130,male,ln,age,goa,19184.959405183436,flathead sole,flatfish,33,700
10130,male,ln,length,goa,4379.2072897906,flathead sole,flatfish,33,700
10130,male,sp,age,goa,380.26867660353713,flathead sole,flatfish,33,700
10130,total,all,age,goa,183.4153112965483,flathead sole,flatfish,33,710
10130,total,all,length,goa,2299.625003186837,flathead sole,flatfish,33,710
10130,total,hl,age,goa,286.8718428238782,flathead sole,flatfish,33,710
10130,total,hl,length,goa,3165.018452323515,flathead sole,flatfish,33,710
10130,total,hl_ln,age,goa,277.2578715031211,flathead sole,flatfish,33,710
10130,total,ln,age,goa,39995.183565620806,flathead sole,flatfish,33,710
10130,total,ln,length,goa,9354.083119351968,flathead sole,flatfish,33,710
10130,total,sp,age,goa,825.4370369689035,flathead sole,flatfish,33,710
10180,female,all,age,goa,88.86356547416969,Dover sole,flatfish,64,750
10180,female,all,length,goa,654.113536179595,Dover sole,flatfish,64,750
10180,female,hl,age,goa,149.59498353951201,Dover sole,flatfish,64,750
10180,female,hl,length,goa,1112.7910381661407,Dover sole,flatfish,64,750
10180,female,hl_ln,age,goa,144.4518290354481,Dover sole,flatfish,64,750
10180,female,ln,age,goa,8705.207080712125,Dover sole,flatfish,64,750
10180,female,ln,length,goa,1776.740955595926,Dover sole,flatfish,64,750
10180,female,sp,age,goa,230.15053370771304,Dover sole,flatfish,64,750
10180,male,all,age,goa,71.84606155649728,Dover sole,flatfish,59,670
10180,male,all,length,goa,654.0705427265882,Dover sole,flatfish,59,670
10180,male,hl,age,goa,122.37397915684993,Dover sole,flatfish,59,670
10180,male,hl,length,goa,992.0765902526974,Dover sole,flatfish,59,670
10180,male,hl_ln,age,goa,120.52990480832916,Dover sole,flatfish,59,670
10180,male,ln,age,goa,13059.857957404301,Dover sole,flatfish,59,670
10180,male,ln,length,goa,2179.5499003527552,Dover sole,flatfish,59,670
10180,male,sp,age,goa,182.29247313221003,Dover sole,flatfish,59,670
10180,total,all,age,goa,150.66034277582858,Dover sole,flatfish,64,750
10180,total,all,length,goa,1179.8295020002447,Dover sole,flatfish,64,750
10180,total,hl,age,goa,244.05414089030205,Dover sole,flatfish,64,750
10180,total,hl,length,goa,1769.4655705647447,Dover sole,flatfish,64,750
10180,total,hl_ln,age,goa,238.87305310981296,Dover sole,flatfish,64,750
10180,total,ln,age,goa,21570.10595745644,Dover sole,flatfish,64,750
10180,total,ln,length,goa,4007.2089500484594,Dover sole,flatfish,64,750
10180,total,sp,age,goa,396.9984143368559,Dover sole,flatfish,64,750
20510,female,all,age,goa,70.89972799014942,sablefish,other,20,1080
20510,female,all,length,goa,456.74823055607897,sablefish,other,20,1080
20510,female,hl,age,goa,101.10637489870287,sablefish,other,20,1080
20510,female,hl,length,goa,707.5753326634791,sablefish,other,20,1080
20510,female,hl_ln,age,goa,100.46323435545483,sablefish,other,20,1080
20510,female,ln,age,goa,3375.6989041503075,sablefish,other,20,1080
20510,female,ln,length,goa,1531.9301020865985,sablefish,other,20,1080
20510,female,sp,age,goa,258.3826369579632,sablefish,other,20,1080
20510,male,all,age,goa,74.69780356554239,sablefish,other,26,940
20510,male,all,length,goa,622.6931121756182,sablefish,other,26,940
20510,male,hl,age,goa,108.00393595806582,sablefish,other,26,940
20510,male,hl,length,goa,952.8570501046356,sablefish,other,26,940
20510,male,hl_ln,age,goa,107.09814318929851,sablefish,other,26,940
20510,male,ln,age,goa,5599.359192888483,sablefish,other,26,940
20510,male,ln,length,goa,2198.784892924023,sablefish,other,26,940
20510,male,sp,age,goa,221.1472726335734,sablefish,other,26,940
20510,total,all,age,goa,109.91063773998704,sablefish,other,26,1080
20510,total,all,length,goa,844.8134088731027,sablefish,other,26,1080
20510,total,hl,age,goa,150.1670550133917,sablefish,other,26,1080
20510,total,hl,length,goa,1182.663660404084,sablefish,other,26,1080
20510,total,hl_ln,age,goa,153.44487865051943,sablefish,other,26,1080
20510,total,ln,age,goa,10716.362854444276,sablefish,other,26,1080
20510,total,ln,length,goa,3795.9008273667646,sablefish,other,26,1080
20510,total,sp,age,goa,438.3164594132378,sablefish,other,26,1080
21720,female,all,age,goa,84.72113849782912,Pacific cod,gadid,12,1100
21720,female,all,length,goa,591.030333262066,Pacific cod,gadid,12,1100
21720,female,hl,age,goa,120.61988872440703,Pacific cod,gadid,12,1100
21720,female,hl,length,goa,849.1402705731919,Pacific cod,gadid,12,1100
21720,female,hl_ln,age,goa,115.22922600910776,Pacific cod,gadid,12,1100
21720,female,ln,age,goa,4686.888767678054,Pacific cod,gadid,12,1100
21720,female,ln,length,goa,2187.5825914447237,Pacific cod,gadid,12,1100
21720,female,sp,age,goa,486.5710871056322,Pacific cod,gadid,12,1100
21720,male,all,age,goa,76.83095695017965,Pacific cod,gadid,14,1050
21720,male,all,length,goa,567.1448392617701,Pacific cod,gadid,14,1050
21720,male,hl,age,goa,110.31472067353668,Pacific cod,gadid,14,1050
21720,male,hl,length,goa,808.6675040283137,Pacific cod,gadid,14,1050
21720,male,hl_ln,age,goa,106.85157277666669,Pacific cod,gadid,14,1050
21720,male,ln,age,goa,4793.577322012221,Pacific cod,gadid,14,1050
21720,male,ln,length,goa,2115.7958644424702,Pacific cod,gadid,14,1050
21720,male,sp,age,goa,456.8261807818601,Pacific cod,gadid,14,1050
21720,total,all,age,goa,105.32738276534276,Pacific cod,gadid,14,1100
21720,total,all,length,goa,783.0081959513805,Pacific cod,gadid,14,1100
21720,total,hl,age,goa,141.4627586225712,Pacific cod,gadid,14,1100
21720,total,hl,length,goa,1012.0929846192147,Pacific cod,gadid,14,1100
21720,total,hl_ln,age,goa,138.04499437721242,Pacific cod,gadid,14,1100
21720,total,ln,age,goa,12888.978222202297,Pacific cod,gadid,14,1100
21720,total,ln,length,goa,4410.869295320614,Pacific cod,gadid,14,1100
21720,total,sp,age,goa,949.3069085973068,Pacific cod,gadid,14,1100
21740,female,all,age,goa,101.19929357461243,walleye pollock,gadid,17,820
21740,female,all,length,goa,452.27094354454795,walleye pollock,gadid,17,820
21740,female,hl,age,goa,117.75348099218384,walleye pollock,gadid,17,820
21740,female,hl,length,goa,521.2515928136073,walleye pollock,gadid,17,820
21740,female,hl_ln,age,goa,115.55174219461777,walleye pollock,gadid,17,820
21740,female,ln,age,goa,12079.138923036446,walleye pollock,gadid,17,820
21740,female,ln,length,goa,4008.312361621013,walleye pollock,gadid,17,820
21740,female,sp,age,goa,1351.4302470125147,walleye pollock,gadid,17,820
21740,male,all,age,goa,80.37660354281086,walleye pollock,gadid,18,990
21740,male,all,length,goa,346.93851077397443,walleye pollock,gadid,18,990
21740,male,hl,age,goa,92.83169652885493,walleye pollock,gadid,18,990
21740,male,hl,length,goa,393.97667874292017,walleye pollock,gadid,18,990
21740,male,hl_ln,age,goa,90.2239434935289,walleye pollock,gadid,18,990
21740,male,ln,age,goa,9652.961478074207,walleye pollock,gadid,18,990
21740,male,ln,length,goa,3160.9562005311836,walleye pollock,gadid,18,990
21740,male,sp,age,goa,1113.440294885719,walleye pollock,gadid,18,990
21740,total,all,age,goa,90.34396167953285,walleye pollock,gadid,18,990
21740,total,all,length,goa,402.19463405639584,walleye pollock,gadid,18,990
21740,total,hl,age,goa,99.24925439320964,walleye pollock,gadid,18,990
21740,total,hl,length,goa,430.8172623484544,walleye pollock,gadid,18,990
21740,total,hl_ln,age,goa,98.21928922626252,walleye pollock,gadid,18,990
21740,total,ln,age,goa,50904.51085960135,walleye pollock,gadid,18,990
21740,total,ln,length,goa,8019.253970225925,walleye pollock,gadid,18,990
21740,total,sp,age,goa,2611.949617315647,walleye pollock,gadid,18,990
30060,female,all,age,goa,136.43132248115154,Pacific ocean perch,rockfish,84,700
30060,female,all,length,goa,335.79616192466466,Pacific ocean perch,rockfish,84,700
30060,female,hl,age,goa,208.78812452904134,Pacific ocean perch,rockfish,84,700
30060,female,hl,length,goa,399.3856463544619,Pacific ocean perch,rockfish,84,700
30060,female,hl_ln,age,goa,205.36233308488718,Pacific ocean perch,rockfish,84,700
30060,female,ln,age,goa,18998.623846797513,Pacific ocean perch,rockfish,84,700
30060,female,ln,length,goa,2337.7498228161817,Pacific ocean perch,rockfish,84,700
30060,female,sp,age,goa,504.9507866135423,Pacific ocean perch,rockfish,84,700
30060,male,all,age,goa,140.7108896568151,Pacific ocean perch,rockfish,88,790
30060,male,all,length,goa,336.9986092038991,Pacific ocean perch,rockfish,88,790
30060,male,hl,age,goa,217.4268098872149,Pacific ocean perch,rockfish,88,790
30060,male,hl,length,goa,390.70497877429665,Pacific ocean perch,rockfish,88,790
30060,male,hl_ln,age,goa,214.1356251536766,Pacific ocean perch,rockfish,88,790
30060,male,ln,age,goa,23256.194765896355,Pacific ocean perch,rockfish,88,790
30060,male,ln,length,goa,2654.2765234024055,Pacific ocean perch,rockfish,88,790
30060,male,sp,age,goa,489.1310986355047,Pacific ocean perch,rockfish,88,790
30060,total,all,age,goa,222.41913695082636,Pacific ocean perch,rockfish,88,790
30060,total,all,length,goa,436.05222177892296,Pacific ocean perch,rockfish,88,790
30060,total,hl,age,goa,311.47591845879117,Pacific ocean perch,rockfish,88,790
30060,total,hl,length,goa,483.0946258413946,Pacific ocean perch,rockfish,88,790
30060,total,hl_ln,age,goa,309.6576137530119,Pacific ocean perch,rockfish,88,790
30060,total,ln,age,goa,50110.02499695464,Pacific ocean perch,rockfish,88,790
30060,total,ln,length,goa,5152.90238057352,Pacific ocean perch,rockfish,88,790
30060,total,sp,age,goa,998.5316428260804,Pacific ocean perch,rockfish,88,790
30420,female,all,age,goa,69.7770306480048,northern rockfish,rockfish,72,500
30420,female,all,length,goa,113.11277182634765,northern rockfish,rockfish,72,500
30420,female,hl,age,goa,120.22633890338801,northern rockfish,rockfish,72,500
30420,female,hl,length,goa,152.18655898233948,northern rockfish,rockfish,72,500
30420,female,hl_ln,age,goa,115.1513436267106,northern rockfish,rockfish,72,500
30420,female,ln,age,goa,5498.526179011638,northern rockfish,rockfish,72,500
30420,female,ln,length,goa,540.6466382362665,northern rockfish,rockfish,72,500
30420,female,sp,age,goa,203.41412200042862,northern rockfish,rockfish,72,500
30420,male,all,age,goa,64.11266659198618,northern rockfish,rockfish,60,490
30420,male,all,length,goa,146.19644748061665,northern rockfish,rockfish,60,490
30420,male,hl,age,goa,113.04174640717838,northern rockfish,rockfish,60,490
30420,male,hl,length,goa,211.55911957702955,northern rockfish,rockfish,60,490
30420,male,hl_ln,age,goa,109.58355341929453,northern rockfish,rockfish,60,490
30420,male,ln,age,goa,5608.195698539539,northern rockfish,rockfish,60,490
30420,male,ln,length,goa,540.1584295033074,northern rockfish,rockfish,60,490
30420,male,sp,age,goa,175.70542156538775,northern rockfish,rockfish,60,490
30420,total,all,age,goa,123.40298210817247,northern rockfish,rockfish,72,500
30420,total,all,length,goa,207.5666668933395,northern rockfish,rockfish,72,500
30420,total,hl,age,goa,205.3914849115136,northern rockfish,rockfish,72,500
30420,total,hl,length,goa,268.96632284051873,northern rockfish,rockfish,72,500
30420,total,hl_ln,age,goa,199.55509127100456,northern rockfish,rockfish,72,500
30420,total,ln,age,goa,10548.215070079925,northern rockfish,rockfish,72,500
30420,total,ln,length,goa,1068.2744376752069,northern rockfish,rockfish,72,500
30420,total,sp,age,goa,368.13618931321435,northern rockfish,rockfish,72,500
10110,female,all,age,ai,108.86233827108238,arrowtooth flounder,flatfish,34,990
10110,female,all,length,ai,823.5067644839381,arrowtooth flounder,flatfish,34,990
10110,female,hl,age,ai,163.50859389253515,arrowtooth flounder,flatfish,34,990
10110,female,hl,length,ai,1241.7466019285507,arrowtooth flounder,flatfish,34,990
10110,female,hl_ln,age,ai,159.8279334714141,arrowtooth flounder,flatfish,34,990
10110,female,ln,age,ai,5889.696610835008,arrowtooth flounder,flatfish,34,990
10110,female,ln,length,ai,2693.2007854817352,arrowtooth flounder,flatfish,34,990
10110,female,sp,age,ai,322.762171895701,arrowtooth flounder,flatfish,34,990
10110,male,all,age,ai,56.51171358051481,arrowtooth flounder,flatfish,37,870
10110,male,all,length,ai,420.3032593374658,arrowtooth flounder,flatfish,37,870
10110,male,hl,age,ai,82.28507905597148,arrowtooth flounder,flatfish,37,870
10110,male,hl,length,ai,617.6132970145363,arrowtooth flounder,flatfish,37,870
10110,male,hl_ln,age,ai,77.63186011448079,arrowtooth flounder,flatfish,37,870
10110,male,ln,age,ai,3970.230069715458,arrowtooth flounder,flatfish,37,870
10110,male,ln,length,ai,1609.4890919206607,arrowtooth flounder,flatfish,37,870
10110,male,sp,age,ai,200.69710044533548,arrowtooth flounder,flatfish,37,870
10110,total,all,age,ai,131.54438670110963,arrowtooth flounder,flatfish,37,990
10110,total,all,length,ai,962.3915967217307,arrowtooth flounder,flatfish,37,990
10110,total,hl,age,ai,180.14081229259537,arrowtooth flounder,flatfish,37,990
10110,total,hl,length,ai,1292.3441519350245,arrowtooth flounder,flatfish,37,990
10110,total,hl_ln,age,ai,177.33064927328618,arrowtooth flounder,flatfish,37,990
10110,total,ln,age,ai,10338.704612561774,arrowtooth flounder,flatfish,37,990
10110,total,ln,length,ai,4356.926848853336,arrowtooth flounder,flatfish,37,990
10110,total,sp,age,ai,493.199877470511,arrowtooth flounder,flatfish,37,990
10112,female,all,age,ai,78.05432365593911,Kamchatka flounder,flatfish,48,950
10112,female,all,length,ai,232.37842879025771,Kamchatka flounder,flatfish,48,950
10112,female,hl,age,ai,116.9651714265098,Kamchatka flounder,flatfish,48,950
10112,female,hl,length,ai,387.2803813028782,Kamchatka flounder,flatfish,48,950
10112,female,hl_ln,age,ai,103.50735142061647,Kamchatka flounder,flatfish,48,950
10112,female,ln,age,ai,1468.2092956872912,Kamchatka flounder,flatfish,48,950
10112,female,ln,length,ai,681.5369943813267,Kamchatka flounder,flatfish,48,950
10112,female,sp,age,ai,328.1817439651872,Kamchatka flounder,flatfish,48,950
10112,male,all,age,ai,63.78095363098753,Kamchatka flounder,flatfish,58,840
10112,male,all,length,ai,209.26456286512905,Kamchatka flounder,flatfish,58,840
10112,male,hl,age,ai,86.85017282417893,Kamchatka flounder,flatfish,58,840
10112,male,hl,length,ai,285.74817903701256,Kamchatka flounder,flatfish,58,840
10112,male,hl_ln,age,ai,81.99886208897156,Kamchatka flounder,flatfish,58,840
10112,male,ln,age,ai,2221.2375141509624,Kamchatka flounder,flatfish,58,840
10112,male,ln,length,ai,962.6459424135622,Kamchatka flounder,flatfish,58,840
10112,male,sp,age,ai,298.3916290411247,Kamchatka flounder,flatfish,58,840
10112,total,all,age,ai,103.71528658612915,Kamchatka flounder,flatfish,58,950
10112,total,all,length,ai,330.7136775094371,Kamchatka flounder,flatfish,58,950
10112,total,hl,age,ai,134.67265699107006,Kamchatka flounder,flatfish,58,950
10112,total,hl,length,ai,443.05265918692453,Kamchatka flounder,flatfish,58,950
10112,total,hl_ln,age,ai,127.67472095409596,Kamchatka flounder,flatfish,58,950
10112,total,ln,age,ai,3901.846589964847,Kamchatka flounder,flatfish,58,950
10112,total,ln,length,ai,1621.6578367786994,Kamchatka flounder,flatfish,58,950
10112,total,sp,age,ai,559.0542741297714,Kamchatka flounder,flatfish,58,950
21720,female,all,age,ai,90.02425340966454,Pacific cod,gadid,13,1160
21720,female,all,length,ai,472.8145919833982,Pacific cod,gadid,13,1160
21720,female,hl,age,ai,125.07037736459365,Pacific cod,gadid,13,1160
21720,female,hl,length,ai,784.4542953090221,Pacific cod,gadid,13,1160
21720,female,hl_ln,age,ai,117.76593393922458,Pacific cod,gadid,13,1160
21720,female,ln,age,ai,3236.1393222752,Pacific cod,gadid,13,1160
21720,female,ln,length,ai,1430.2781643444287,Pacific cod,gadid,13,1160
21720,female,sp,age,ai,535.1611449730857,Pacific cod,gadid,13,1160
21720,male,all,age,ai,90.54047452674241,Pacific cod,gadid,13,1130
21720,male,all,length,ai,496.87998287188816,Pacific cod,gadid,13,1130
21720,male,hl,age,ai,121.06212968210504,Pacific cod,gadid,13,1130
21720,male,hl,length,ai,793.9443185183304,Pacific cod,gadid,13,1130
21720,male,hl_ln,age,ai,116.92618290643729,Pacific cod,gadid,13,1130
21720,male,ln,age,ai,3730.7379944227305,Pacific cod,gadid,13,1130
21720,male,ln,length,ai,1584.5494094259218,Pacific cod,gadid,13,1130
21720,male,sp,age,ai,573.724097019936,Pacific cod,gadid,13,1130
21720,total,all,age,ai,127.45875079581829,Pacific cod,gadid,13,1160
21720,total,all,length,ai,762.2046157385313,Pacific cod,gadid,13,1160
21720,total,hl,age,ai,160.23493043655665,Pacific cod,gadid,13,1160
21720,total,hl,length,ai,1106.7171264856947,Pacific cod,gadid,13,1160
21720,total,hl_ln,age,ai,154.3076340206046,Pacific cod,gadid,13,1160
21720,total,ln,age,ai,9183.994751906363,Pacific cod,gadid,13,1160
21720,total,ln,length,ai,3057.937848649701,Pacific cod,gadid,13,1160
21720,total,sp,age,ai,1063.5559362298638,Pacific cod,gadid,13,1160
21740,female,all,age,ai,71.40267569281828,walleye pollock,gadid,22,930
21740,female,all,length,ai,257.53560666361415,walleye pollock,gadid,22,930
21740,female,hl,age,ai,97.63068490003639,walleye pollock,gadid,22,930
21740,female,hl,length,ai,329.4099624857833,walleye pollock,gadid,22,930
21740,female,hl_ln,age,ai,94.19632332400897,walleye pollock,gadid,22,930
21740,female,ln,age,ai,6868.519100310495,walleye pollock,gadid,22,930
21740,female,ln,length,ai,1551.9001261625879,walleye pollock,gadid,22,930
21740,female,sp,age,ai,485.6101389247736,walleye pollock,gadid,22,930
21740,male,all,age,ai,54.69100939242943,walleye pollock,gadid,23,780
21740,male,all,length,ai,192.68157437054535,walleye pollock,gadid,23,780
21740,male,hl,age,ai,75.22487842207097,walleye pollock,gadid,23,780
21740,male,hl,length,ai,249.2306332024338,walleye pollock,gadid,23,780
21740,male,hl_ln,age,ai,72.49605452852623,walleye pollock,gadid,23,780
21740,male,ln,age,ai,5661.806733101464,walleye pollock,gadid,23,780
21740,male,ln,length,ai,1275.0218649492178,walleye pollock,gadid,23,780
21740,male,sp,age,ai,372.4118108505011,walleye pollock,gadid,23,780
21740,total,all,age,ai,84.86927486840717,walleye pollock,gadid,23,930
21740,total,all,length,ai,289.54442371412915,walleye pollock,gadid,23,930
21740,total,hl,age,ai,107.21444875662296,walleye pollock,gadid,23,930
21740,total,hl,length,ai,342.03565418267357,walleye pollock,gadid,23,930
21740,total,hl_ln,age,ai,104.58772803536324,walleye pollock,gadid,23,930
21740,total,ln,age,ai,22689.639331844253,walleye pollock,gadid,23,930
21740,total,ln,length,ai,2948.9381860098956,walleye pollock,gadid,23,930
21740,total,sp,age,ai,824.5015865009973,walleye pollock,gadid,23,930
